股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
4148,全宇生技-KY,2026-04-17,38.0,-0.4,34838,1323123,,否,是,38.0,38.0,38.0,38.0,0.0,0.0,0.0
4155,訊映,2026-04-17,13.4,0.25,374624,5010136,,否,是,13.4,13.4,13.4,13.4,0.0,0.0,0.0
4164,承業醫,2026-04-17,31.15,-0.3,918454,28698595,紅縮,否,是,31.15,31.15,31.15,31.15,0.0,0.0,0.0
4169,泰宗,2026-04-17,166.5,-1.0,630667,107194163,,否,是,166.5,166.5,166.5,166.5,0.0,0.0,0.0
4190,佐登-KY,2026-04-17,27.0,0.0,44079,1189724,紅縮,否,是,27.0,27.0,27.0,27.0,0.0,0.0,0.0
4306,炎洲,2026-04-17,13.7,-0.1,731643,10032731,綠縮,否,是,13.7,13.7,13.7,13.7,0.0,0.0,0.0
4414,如興,2026-04-17,10.85,-0.1,338886,3683354,紅縮,否,是,10.85,10.85,10.85,10.85,0.0,0.0,0.0
4426,利勤,2026-04-17,8.92,0.28,232756,2043473,紅縮,否,是,8.92,8.92,8.92,8.92,0.0,0.0,0.0
4438,廣越,2026-04-17,58.9,-0.3,56733,3339354,紅縮,否,是,58.9,58.9,58.9,58.9,0.0,0.0,0.0
4439,冠星-KY,2026-04-17,97.4,-1.1,24362,2363956,,否,是,97.4,97.4,97.4,97.4,0.0,0.0,0.0
4440,宜新實業,2026-04-17,18.15,0.05,107971,1966347,,否,是,18.15,18.15,18.15,18.15,0.0,0.0,0.0
4441,振大環球,2026-04-17,194.5,-1.0,49411,9584586,,否,是,194.5,194.5,194.5,194.5,0.0,0.0,0.0
4526,東台,2026-04-17,34.4,0.3,1853341,63642245,綠縮,否,是,34.4,34.4,34.4,34.4,0.0,0.0,0.0
4532,瑞智,2026-04-17,24.6,0.35,1085512,26623693,紅縮,否,是,24.6,24.6,24.6,24.6,0.0,0.0,0.0
4536,拓凱,2026-04-17,156.5,0.5,196455,30846460,綠縮,否,是,156.5,156.5,156.5,156.5,0.0,0.0,0.0
4540,全球傳動,2026-04-17,57.9,5.0,16717104,952280547,,否,是,57.9,57.9,57.9,57.9,0.0,0.0,0.0
4545,銘鈺,2026-04-17,31.4,-0.2,185661,5809006,紅縮,否,是,31.4,31.4,31.4,31.4,0.0,0.0,0.0
4551,智伸科,2026-04-17,142.0,0.0,695460,98310608,綠縮,否,是,142.0,142.0,142.0,142.0,0.0,0.0,0.0
4552,力達-KY,2026-04-17,21.2,-0.1,142914,3027207,紅縮,否,是,21.2,21.2,21.2,21.2,0.0,0.0,0.0
4555,氣立,2026-04-17,41.05,0.95,565945,23047387,紅縮,否,是,41.05,41.05,41.05,41.05,0.0,0.0,0.0
4557,永新-KY,2026-04-17,53.6,-1.2,129735,6952543,紅縮,否,是,53.6,53.6,53.6,53.6,0.0,0.0,0.0
4560,強信-KY,2026-04-17,33.55,0.05,193666,6494842,,否,是,33.55,33.55,33.55,33.55,0.0,0.0,0.0
4562,穎漢,2026-04-17,35.5,-0.2,596561,21418836,,否,是,35.5,35.5,35.5,35.5,0.0,0.0,0.0
4564,元翎,2026-04-17,19.85,0.2,1155635,22996085,,否,是,19.85,19.85,19.85,19.85,0.0,0.0,0.0
4566,時碩工業,2026-04-17,70.1,0.2,1453353,102162443,,否,是,70.1,70.1,70.1,70.1,0.0,0.0,0.0
4569,六方科-KY,2026-04-17,194.5,0.5,122629,23752806,,否,是,194.5,194.5,194.5,194.5,0.0,0.0,0.0
4571,鈞興-KY,2026-04-17,160.0,0.5,140280,22449538,,否,是,160.0,160.0,160.0,160.0,0.0,0.0,0.0
4572,駐龍,2026-04-17,146.5,0.5,52098,7583185,,否,是,146.5,146.5,146.5,146.5,0.0,0.0,0.0
4576,大銀微系統,2026-04-17,196.0,3.0,1955180,383576710,,否,是,196.0,196.0,196.0,196.0,0.0,0.0,0.0
4581,光隆精密-KY,2026-04-17,51.0,0.6,32093,1623902,,否,是,51.0,51.0,51.0,51.0,0.0,0.0,0.0
4583,台灣精銳,2026-04-17,734.0,-3.0,389818,290308339,,否,是,734.0,734.0,734.0,734.0,0.0,0.0,0.0
4585,達明,2026-04-17,319.0,7.0,304481,96798710,,否,是,319.0,319.0,319.0,319.0,0.0,0.0,0.0
4588,玖鼎電力,2026-04-17,60.2,-0.8,134741,8111059,,否,是,60.2,60.2,60.2,60.2,0.0,0.0,0.0
4590,富田-創,2026-04-17,77.3,0.6,181809,14059003,,否,是,77.3,77.3,77.3,77.3,0.0,0.0,0.0
4720,德淵,2026-04-17,22.1,0.55,7200527,158633918,綠縮,否,是,22.1,22.1,22.1,22.1,0.0,0.0,0.0
4722,國精化,2026-04-17,180.0,3.0,1343014,242426864,綠縮,否,是,180.0,180.0,180.0,180.0,0.0,0.0,0.0
